LEXER OUTPUT - APB slave1
============================================================
Total tokens: 171

TYPE            | VALUE                          | LINE
----------------+--------------------------------+----
UNKNOWN         | `                              | 10
IDENTIFIER      | timescale                      | 10
NUMBER          | 1                              | 10
IDENTIFIER      | ns                             | 10
OPERATOR        | /                              | 10
NUMBER          | 1                              | 10
IDENTIFIER      | ns                             | 10
KEYWORD         | module                         | 14
IDENTIFIER      | slave1                         | 14
PUNCTUATION     | (                              | 14
KEYWORD         | input                          | 15
IDENTIFIER      | PCLK                           | 15
PUNCTUATION     | ,                              | 15
IDENTIFIER      | PRESETn                        | 15
PUNCTUATION     | ,                              | 15
KEYWORD         | input                          | 16
IDENTIFIER      | PSEL                           | 16
PUNCTUATION     | ,                              | 16
IDENTIFIER      | PENABLE                        | 16
PUNCTUATION     | ,                              | 16
IDENTIFIER      | PWRITE                         | 16
PUNCTUATION     | ,                              | 16
KEYWORD         | input                          | 17
PUNCTUATION     | [                              | 17
NUMBER          | 7                              | 17
OPERATOR        | :                              | 17
NUMBER          | 0                              | 17
PUNCTUATION     | ]                              | 17
IDENTIFIER      | PADDR                          | 17
PUNCTUATION     | ,                              | 17
IDENTIFIER      | PWDATA                         | 17
PUNCTUATION     | ,                              | 17
KEYWORD         | output                         | 18
PUNCTUATION     | [                              | 18
NUMBER          | 7                              | 18
OPERATOR        | :                              | 18
NUMBER          | 0                              | 18
PUNCTUATION     | ]                              | 18
IDENTIFIER      | PRDATA1                        | 18
PUNCTUATION     | ,                              | 18
KEYWORD         | output                         | 19
KEYWORD         | reg                            | 19
IDENTIFIER      | PREADY                         | 19
PUNCTUATION     | )                              | 19
PUNCTUATION     | ;                              | 19
KEYWORD         | reg                            | 21
PUNCTUATION     | [                              | 21
NUMBER          | 7                              | 21
OPERATOR        | :                              | 21
NUMBER          | 0                              | 21
PUNCTUATION     | ]                              | 21
IDENTIFIER      | reg_addr                       | 21
PUNCTUATION     | ;                              | 21
KEYWORD         | reg                            | 22
PUNCTUATION     | [                              | 22
NUMBER          | 7                              | 22
OPERATOR        | :                              | 22
NUMBER          | 0                              | 22
PUNCTUATION     | ]                              | 22
IDENTIFIER      | mem                            | 22
PUNCTUATION     | [                              | 22
NUMBER          | 0                              | 22
OPERATOR        | :                              | 22
NUMBER          | 63                             | 22
PUNCTUATION     | ]                              | 22
PUNCTUATION     | ;                              | 22
KEYWORD         | assign                         | 24
IDENTIFIER      | PRDATA1                        | 24
OPERATOR        | =                              | 24
IDENTIFIER      | mem                            | 24
PUNCTUATION     | [                              | 24
IDENTIFIER      | reg_addr                       | 24
PUNCTUATION     | ]                              | 24
PUNCTUATION     | ;                              | 24
KEYWORD         | always                         | 26
UNKNOWN         | @                              | 26
PUNCTUATION     | (                              | 26
OPERATOR        | *                              | 26
PUNCTUATION     | )                              | 26
KEYWORD         | begin                          | 27
KEYWORD         | if                             | 28
PUNCTUATION     | (                              | 28
OPERATOR        | !                              | 28
IDENTIFIER      | PRESETn                        | 28
PUNCTUATION     | )                              | 28
IDENTIFIER      | PREADY                         | 29
OPERATOR        | =                              | 29
NUMBER          | 0                              | 29
PUNCTUATION     | ;                              | 29
KEYWORD         | else                           | 30
KEYWORD         | if                             | 31
PUNCTUATION     | (                              | 31
IDENTIFIER      | PSEL                           | 31
OPERATOR        | &&                             | 31
OPERATOR        | !                              | 31
IDENTIFIER      | PENABLE                        | 31
OPERATOR        | &&                             | 31
OPERATOR        | !                              | 31
IDENTIFIER      | PWRITE                         | 31
PUNCTUATION     | )                              | 31

... and 71 more tokens
